Aktuell_vermietet,Badewanne,Balkon,Barrierefrei,Baujahr,Dachboden,Denkmalobjekt,Dusche,Einbaukueche,Einliegerwohnung,Preis__in__EUR,Gaeste_WC,Garage_Stellplatz,Garten__mitnutzung,Grundstuecksflaeche__m2,Haustiere_erlaubt,Haustyp,Heizkosten__in__EUR,Heizungsart,Keller,Moebliert_Teilmoebliert,Provision__in__EUR,Terrasse,Verfuegbar_ab_Jahr,Verfuegbar_ab_Monat,Verkaeufer,Wohnflaeche__m2,Zimmer,adid,kw,plz,posterid
,,,,"1928",,,,,,"270000",,,,"496",,"einfamilienhaus",,,,,"ja",,,,"gewerblich","160","6","721918176","Ein__bis_Zweifamilienhaus_in_Wiedenbrueck","33378","50316225"
,"true",,,"1968",,,"true",,,"590000",,"true","true","589.00",,"mehrfamilienhaus",,"zentralheizung","true",,"nein",,,,"gewerblich","160","8.0","723667067","Renovierungsbeduerftiges_grosszuegiges_Haus_in_Wiesbaden...","65207","50379245"
,,,,"1750",,,,,,"69000",,,,"75",,"einfamilienhaus",,,,,"ja",,,,"gewerblich","120","4","709516362","Beidseitig_angebautes__schnuckeliges__geraeumiges...","54647","40815451"
,,,,"1900",,,,,,"99000",,"true",,"1472",,"einfamilienhaus",,"zentralheizung",,,"ja",,,,"gewerblich","80","4","709556588","Haus_im_Gruenen","54597","49797192"
,,,,"1908",,,,,,"59000",,,,"1200",,"einfamilienhaus",,,,,"ja",,,,"gewerblich","160","8","709566176","Freistehendes_Einfamilienhaus_mit_Gewoelbekeller_und...","54570","40815451"
,"true",,,,,,,,,"245500","true","true",,"705",,"einfamilienhaus",,"fussbodenheizung",,,"nein",,,,"gewerblich","120","4","709566327","Lichterfuellter_Wohntraum_mit_Wohlfuehl_Garantie!_...","56479","44436249"
,,,,"1979",,,,"true",,"250000",,"true",,"484",,"einfamilienhaus",,"zentralheizung","true",,"ja","true",,,"gewerblich","160","5","653361176","+++Haus_mit_vielen_Moeglichkeiten__Ideal_fuer...","41542","34386963"
,"true",,,"1920",,,"true","true",,"220000",,"true","true","1060.00",,"bauernhaus",,"zentralheizung","true",,"ja","true",,,"gewerblich","160","6.0","760842637","ObjNr:B_15944___Renoviertes_Bauernhaus_in_Hoeringen","67724","32583740"
,"true","true",,"1993",,,"true",,,"369000",,"true",,"220.00",,"mehrfamilienhaus",,"zentralheizung","true",,"ja",,,,"gewerblich","160","5.0","760842639","ObjNr:B_15942___2_Familienhaus_in_Kriegsfeld","67819","32583740"
,"true",,,"1920",,,"true","true",,"220000",,"true","true","1060.00",,"bauernhaus",,"zentralheizung","true",,"ja","true",,,"gewerblich","160","6.0","760842655","ObjNr:15944___Ehemaliges_Bauernhaus_mit_Scheune_und...","67724","32583740"
,"true","true",,"1993",,,"true",,,"369000",,"true",,"220.00",,"mehrfamilienhaus",,"zentralheizung","true",,"ja",,,,"gewerblich","160","5.0","760842656","ObjNr:15942___Haus_mit_Gaststaette_in_Kriegsfeld","67819","32583740"
,"true",,,"2015",,,"true",,,"495000","true","true",,"574.00",,"einfamilienhaus",,"zentralheizung",,,"ja","true",,,"gewerblich","160","5.0","760843755","Exklusiver_Neubau_mit_Blick_ins_Gruene.","53919","46816549"
,,,,"1992",,,"true",,,"85000",,"true",,"466.00",,"andere",,,,,"ja",,,,"gewerblich","160","3.0","760843778","Hier_koennen_Sie_Kraft_tanken!","53783","45780152"
,,,,"1924",,,,,,"145000",,"true",,"234",,"einfamilienhaus",,"zentralheizung",,,"ja",,,,"gewerblich","160","9","716895714","Anlageobjekt_in_Vermietung___Ein_/Zweifamilienhaus_in...","48720","12651695"
,"true",,,"1925",,,,"true",,"79000",,"true","true","669",,"mehrfamilienhaus",,"ofenheizung","true",,"nein",,,,"gewerblich","160","10","755782807","Burgblick:_Zweifamilienhaus_fuer_die_lebendige_Familie...","36391","51575941"
,,,,"1911",,,,,,"199000","true","true",,"340",,"einfamilienhaus",,"ofenheizung",,,"ja",,,,"gewerblich","140","4","656384239","Schoenes__vollstaendig_renoviertes_Einfamilienhaus_mit...","56588","31810516"
,"true",,,"1955",,,"true",,,"90000",,"true",,"704",,"einfamilienhaus",,"zentralheizung","true",,"ja",,,,"gewerblich","120","4","549075953","Praktisches_Haus__groesstenteils_renoviert_mit_Garten...","56823","40750361"
,"true","true",,"1964",,,"true",,"true","297450",,"true","true","516",,"doppelhaushaelfte",,"zentralheizung","true",,"ja","true",,,"gewerblich","140","6","726060491","***Dieses_Haus_ueberzeugt_als_Raumwunder!_Attraktive...","48653","44541310"
,,,,,,,,,,"143000","true","true",,"360",,"einfamilienhaus",,"zentralheizung","true",,"ja","true",,,"gewerblich","100","4","670901482","Planungsfertiges_freistehendes_Einfamilienhaus_in...","56414","31810516"
,"true",,,,,,"true",,,"159490","true",,,"437",,"einfamilienhaus",,"fussbodenheizung",,,"nein","true",,,"gewerblich","140","4","741894419","Unfassbar_guenstig_mit_Grundstueck_biete_ich_dieses...","56653","42375320"
,"true",,,"1963",,,"true","true",,"310000","true","true","true","928",,"einfamilienhaus",,"zentralheizung","true",,"ja","true",,,"gewerblich","160","4","705089142","Freist._Einfamilienhaus_mit_Schwimmhalle_auf_grossem...","46499","35305923"
,,,,"1956",,,,,,"147500",,"true",,"1180",,"einfamilienhaus",,"zentralheizung",,,"ja","true",,,"gewerblich","120","4","708100866","Schoenes_Einfamilienhaus_mit_Moeglichkeit_zur...","52538","29619472"
,,,,,,,,,,"75000",,"true","true","991",,"bauernhaus",,"ofenheizung",,,"ja",,,,"gewerblich","100","5","645806776","Gepflegtes_Bauernhaus_in_ruhiger_Ortsrandlage","55491","44844706"
,"true",,,"1950",,,"true",,,"168000",,,,"200.00",,"mehrfamilienhaus",,"zentralheizung",,,"ja","true",,,"gewerblich","160","6.0","654853509","ObjNr:B_14979___Freistehendes_1_2_Familienhaus_in...","76744","39795553"
,"true",,,"1870","true",,"true","true",,"100000","true","true","true","950",,"bauernhaus",,"oelheizung","true",,"nein",,"2017","12","privat","120","6","747525253","ehemaliges_Bauernhaus_mit_Innenhof_Nebengebaeude_und_Garten","67823","24028636"
,"true","true",,"1966",,,"true","true",,"295000",,"true","true","250",,"mehrfamilienhaus",,"zentralheizung","true",,"ja","true",,,"gewerblich","160","7","601770269","ObjNr:14790___Sehr_gepflegtes_Ein__bis...","67112","32578780"
,"true","true",,"1982",,,"true",,,"325000","true","true",,"1067",,"einfamilienhaus",,"zentralheizung",,,"ja","true",,,"gewerblich","160","5","747117585","Freistehendes_Einfamilienhaus__ortsnah__im_Gruenen_und...","41849","42077301"
,"true",,,"2003","true",,"true","true",,"439000","true","true","true","479",,"einfamilienhaus",,"gasheizung","true",,"ja","true","2017","10","gewerblich","160","5","731076343","Wohnen_in_bester_Lage_von_Wulfen___modernes_Einfamilienhaus","46286","43556997"
,"true",,,"1771",,,"true",,"true","165000",,"true","true","4156",,"andere",,"ofenheizung","true",,"ja",,,,"gewerblich","160","8","686375845","Fuer_Liebhaber!","58675","39354198"
,,,,"1921",,,,,,"290000",,"true",,"314",,"einfamilienhaus",,"zentralheizung",,,"ja",,,,"gewerblich","160","11","708523140","IPA__Zwei_Haeuser_zu_einem_Preis_in_Alsdorf!_Lassen_Sie...","52477","32634314"
,"true","true",,"1930","true",,"true","true",,"210000","true","true","true","312",,"einfamilienhaus",,"elektroheizung","true",,"nein","true","2017","11","privat","160","6","739765878","Ohne_Makler!_Flexibles_Ein__bis_Zweifamilienhaus_freistehend","63695","3440026"
,,"true",,"1986",,,,,,"189000","true","true",,"555",,"einfamilienhaus",,"zentralheizung","true",,"ja","true",,,"gewerblich","140","5","634484375","Schickes_Einfamilienhaus_mit_toller_Raumaufteilung_...","55487","30953713"
,"true",,,"2017",,,"true",,,"90500","true",,,"500",,"einfamilienhaus",,"fussbodenheizung",,,"nein",,"2017","11","gewerblich","120","4","735583975","Ihr_Ausbauhaus_individuell_und_kostenguenstig!","99510","46630055"
,"true","true",,"1978",,,"true","true",,"195000",,"true","true","1629",,"einfamilienhaus",,"zentralheizung","true",,"ja","true",,,"gewerblich","160","7","709933461","EFH_mit_Potential_und_grossem_Grundstueck_fuer_Familien...","55494","40430756"
,"true","true",,"1977",,,"true","true","true","495000","true","true","true","1300",,"mehrfamilienhaus",,"zentralheizung","true",,"ja","true",,,"gewerblich","160","8","754978513","Freiraum_fuer_individuelles_Wohnen_mit_Fernblick_!","51515","42107638"
,"true",,,"1972",,,"true",,,"349000","true","true",,"372",,"einfamilienhaus",,"zentralheizung","true",,"ja","true",,,"gewerblich","140","4","753288959","Bungalow_in_begehrter_Feldrandlage","67067","40451434"
,"true",,,,,,"true",,,"261000","true",,,"580",,"einfamilienhaus",,"fussbodenheizung",,,"nein",,,,"gewerblich","160","5","702011976","Ein_modernes_Haus_mit_viel_Platz*_Effizienzhaus...","55424","42733221"
,,,,"1993",,,,,,"499000",,"true",,"942",,"einfamilienhaus",,"zentralheizung","true",,"ja",,,,"gewerblich","160","5","709533146","Repraesentatives_Einfamilienhaus_mit_Gewerbemoeglichkeit...","46514","21542451"
,"true",,,"1910","true",,,,,"69500","true","true","true","700",,"bauernhaus",,"elektroheizung","true",,"ja",,"2017",,"gewerblich","120","5","659149303","Schnuckeliges_Eifel_Bauernhaus_mit_Stall/Scheune_!!","54568","24545218"
,"true",,,"1933",,,"true",,,"175000","true","true","true","1000",,"mehrfamilienhaus",,"zentralheizung",,,"ja","true",,,"gewerblich","160","7","697622145","ObjNr:B_15540___Schoenes_2_Familienhaus_mit_grossem...","67663","32583740"
